idCaracteristica	Nome
2	ecocert
3	eu-organic
4	palm-oil-free
5	ab-agriculture-biologique
6	no-colorings
7	green-dot
8	no-flavors
9	organic
10	be-bio-02
11	es:bio-europeen
12	es:vegetalien
13	es:vegetarien
14	vegetarian
15	vegan
16	fr-bio-01
17	info-tri-point-vert
18	high-fibres
19	no-additives
20	labels-of-distributors
21	carrefour-quality
22	pure-butter
23	made-in-france
24	organic-fair-trade
25	no-artificial-colors
26	no-artificial-colours-or-flavours
27	no-artificial-flavors
28	by-appointment-to-her-majesty-the-queen
29	no-preservatives
30	eu-non-eu-agriculture
31	new
32	eco-emballages
33	origine-france
34	produced-in-bretagne
35	no-hydrogenated-fats
36	no-eggs
37	elabore-en-france
38	beurre-d-isigny-aop
39	creme-fraiche-d-isigny-aop
40	halal
41	association-rituelle-de-la-grande-mosquee-de-lyon
42	gluten-free
43	fabrique-dans-le-sud-ouest
44	made-in-italy
45	source-de-fibres
46	fabrique-en-aveyron
47	filiere-ble-regionale
48	ecocert-fr-bio-01
49	j-aime-ma-planete
50	low-or-no-fat
51	low-fat
52	30-less-fat
53	reduced-fat
54	pommes-de-terre-de-france
55	transforme-en-france
56	source-of-protein
57	ble-francais
58	fabrique-en-corse
59	qualite-controlee
60	viande-francaise
61	french-duck
62	es:calidad-suprema
63	eac
64	conformite-eurasienne
65	triman
66	produit-dans-le-nord-de-la-france
67	pgi
68	de:bio-7-initiative
69	de:eg-oko-verordnung
70	au-beurre-frais
71	with-sunflower-oil
72	low-or-no-sugar
73	no-added-sugar
74	no-lactose
75	teneur-reduite-en-sodium
76	union-orthodoxe
77	fair-trade
78	fairtrade-international
79	german-agricultural-society
80	2015-gold-medal-of-the-german-agricultural-society
81	de-oko-003
82	gold-medal-of-the-german-agricultural-society
83	de:nicht-eu-landwirtschaft
84	circuit-court
85	cor-481
86	laitier
87	selection-intermarche
88	nl-bio-01
89	natural-mente
90	sustainable-farming
91	utz-certified
92	utz-certified-cacao
93	de:rspo-mixed
94	spanish-protected-product
95	pgi-mazapan-de-toledo
96	point-vert
97	recycle
98	with-sweeteners
99	es:con-avena
100	es:fuente-de-acido-folico
101	es:con-aceite-de-girasol-alto-oleico
102	spanish-quality-label
103	tierra-de-sabor
104	es:alto-contenido-de-fibra
105	es:no-vegan
106	low-or-no-salt
107	low-salt
108	no-gmos
109	de-oko-001
110	au-beurre-d-isigny-aop
111	nl:eko
112	nl:skal-001108
113	es-eco-023-ma
114	kosher
115	wheat-free
116	pdo
