Cod_barras	Nome	idFabricante	Calorias_100g	Sodio_100g	FibrasAlimentares_100g	Acucares_100g	Proteinas_100g	GordurasTotais_100g	Quantidade	Un_Quantidade
3229820181950	Fourrés Chocolat lait Bio Bjorg	1	2033	2086614173	33	29	73	21	225	g
5410126806052	Speculoos Original	2	2033	3622047244	13	381	49	19	350	g
20093709	Galettes Bretonnes	3	2013	4960629921	2	30	6	19	250	g
3560070420179	Gressins au sésame et à l'huile d'olive vierge extra 8 g	4	2003	5905511811	46	21	15	22	125	g
3560070419456	Tortilla chips	5	2008	3937007874	4	15	67	22	125	g
3268350120558	Biscuits P'tit Déj' bio Céréales & Chocolat	6	2029	2244094488	71	247	63	22	190	g
3178530402698	Petits beurre	7	2021	2322834646		29	65	18	250	g
3336970711057	Curly cacahuète l\'Original (format pause)	8	2041	669		14	127	242	60	g
3350033118065	Cookies aux pépites de chocolat noir	9	2035	2165354331	43	31	66	23	175	g
3431410131003	Crêpe dentelle Chocolat au lait	10	2030	2677165354		50	6	20	90	g
3560070600977	Galettes de riz nappées chocolat noir orange	11	2026	1	6	24	61	24	90	g
3449851140553	Le Bâton de Berger Noisettes	12	2016	15354330709		23	24	42	250	g
3560070725588	Mini galettes de riz au chocolat au lait	13	2026	394	27	24	72	22	60	g
7071848006113	Véritable pain croquant norvégien - épeautre et graines de courge	14	2042	3976377953	14	2	18	27	220	g
3245413922403	Biscuit croustillants sésame	15	2038	3031496063	56	18	1167	226	200	g
3760121210524	Cookies chocolat	16	2020	4	55	34	7	24	200	g
3564709005157	Crêpes Dentelle de Bretagne Pur beurre	17	2010	2137795276	2	347	64	169	85	g
3477730001503	Noir aux éclats de noisettes	18	2015	27559055	82	29	65	35	100	g
3760122961241	6 Petites Baguettes de Sablé Pur Beurre aux Éclats de Noisettes et Chocolat au Lait	19	2028	1692913386		333	7	23	93	g
3178530411195	Crêpes Chocolat au lait	7	2020	3188976378		33	75	27	192	g
5000396015935	McVitie's Digestive	20	2020	6	34	168	69	218	400	g
3336971112013	Curly Cacahuète Les Maxis	21	2041	6692913386		14	127	242	200	g
26034669	Gaufrettes fines au beurre	22	2021	188976378		39	61	194	240	g
3175681140806	Palets de Céréales au Riz Coco & saveur Citron Bio	23	2017	252	64	18	77	22	130	g
3178530408409	Tronches de Cake croustillant	24	2041	2362204724	35	30	6	22	220	g
26035468	les galettes bretonnes pur beurre	25	2031	3937007874		24	7	20	125	g
3222471834732	Galettes Bretonnes	26	2040	2244094488		25	63	21	125	g
3560070907564	Chips de Légumes	4	2042	5511811024	93	19	65	27	100	g
3564709001579	Galettes du Bocage Normand	27	2025	1901574803	2	253	62	186	375	g
3760029247127	Coulis de camarel au beurre salé au sel de Guérande	28	2024	2401574803		458	6	274	330	g
3561770000036	Crème de Salidou	29	2042	188976378		411	1	28	220	g
3336971202059	Curly Cacahuète l'Original	21	2041	6692913386		14	127	242	325	g
3245390021908	Galette du Cotentin Pur Beurre	30	2030	157480315	18	26	62	19	375	g
3175681120679	Maxi Cookies Gros Chunks de Chocolat Noir et Cacao	23	2017	224	53	33	71	23	185	g
3178530407365	Sirtaki	24	2027	3503937008	28	28	63	20	100	g
3268350120367	Cookies Tout choco - Chocolat Noir et Pépites de Chocolat	6	2041	2598425197	43	294	63	232	175	g
3222475123597	Cookies aux Pépites de Chocolat Noir	33	2035	2165354331	43	31	66	23	175	g
3368955782202	Fins sablés aux fruits rouges au beurre et à la crème fraîche d'Isigny AOP	34	2042	1181102362	18	323	62	213	150	g
3270720080102	Graines & fruits	35	2033	39370079	75	406	111	283	250	g
3256224371410	Gressins Sésame à l'Huile d'Olive Vierge Extra 8%	36	2026	5905511811	45	25	14	23	125	g
3760077531865	Grissini artigianali sésame	37	2042	6299212598	55	19	13	20	300	g
3512690000101	Le Sec Nature	38	2020	17322834646		13	27	416	200	g
3770002558126	Macaron d'antan framboise acidulée	39	2046	157480315	0	489	147	257	120	g
3266191085739	Mon Petit Goûter au Cacao	40	2014	2362204724	32	33	86	19	185	g
3270190155584	Pétales salés	13	2029	9448818898	4	5	25	23	75	g
7622300737955	Tuc mini snacks	41	2020	8858267717	23	63	8	22	100	g
3268350120824	Équi'libre petit épautre et chocolat	6	2033	1377952756	55	185	75	232	150	g
2000000000094	A L'Heure de ... Palmiers Pur Beurre	42	2004	42	17	228	81	193	16	g
3396411227486	Brownie au chocolat noir et noix grillées	43	2015	2204724409	35	35	66	30	285	g
3256220363334	Chips légères Nature, - 30% MG	34	2017	3937007874	5	5	7	24	125	g
20384425	Family Brownie Chocolat noisettes	45	2014	2047244094		37	75	30	285	g
3263853107013	Fine Ligne Chips légères	46	2016	3818897638	5	5	7	24	125	g
3368954400770	Galettes Citron Vert	47	2014	3543307087	21	30	56	19	100	g
3256225054756	Goûters fourrés Fruits rouges	36	2007	2165354331	37	276	74	199	185	g
26039510	Hillcrest Nut Bars Choc Peanut	48	2020	23	97	279	158	26	225	g
3178530409604	Petites Galettes Pépites de Chocolat	49	2042	2992125984	31	27	75	18	700	g
5412514933050	Tortilla BIO chips Sour Cream & Onion	50	2009	5118110236		15	67	215	125	g
8480017076489	Aros de maíz &quot;Dia&quot;	51	2049	45	44	29	56	26	200	g
3278310003104	Beurre Le Hameau demi-sel	52	2010	9842519685		1	7	80	500	g
3760121211873	Biscuits nappés chocolat noir	16	2040	236	5	23	95	23	160	g
3113010128750	Bloc de foie gras de canard au porto	53	2002	562992126		16	63	501	200	g
3339881001026	Canistrelli aux Amandes	54	2008	2637795276		288	69	194	350	g
3435070029205	Charles VII Fondant Chocolat au Lait	55	2029	2204724409	15	31	83	21	175	g
3700311810516	Chocolat	56	2034	39370079	68	59	54	23	500	g
3410280021959	Chorizo Pur porc (Fort)	57	2006	244		33	187	44	225	g
3067163621678	Classic, bloc de foie gras de canard	58	2017	4488188976		9	59	50	200	g
20181482	Croustillants Cacahuète	59	2043	6299212598	3	22	15	225	140	g
5000396037937	Digestive	20	2013	5118110236	36	165	71	213	400	g
7610200021120	FLUTES AU BEURRE AFIRO	60	2000	8661417323	35	6	13	22	150	g
8480017032645	Figuras de mazapán	51	2024	78740157		55	8	24	200	g
8480000364074	Figuritas de mazapán	61	2005	39370079	23	55	86	25	200	g
20276607	Galettes au beurre	62	2014	188976378	13	42	59	163	250	g
4004980517905	Kesselnüsse	63	2025	6692913386		77	14	25	125	g
7610036000337	Larmes de Cognac	64	2020	787	15	56	5	23	100	g
3588570003524	Le Régal nappé de chocolat au lait	65	2029	1771653543	33	184	69	192	250	g
4003754176447	Lübecker Edelmarzipan Happen	66	2027	39370079		43	99	29	100	g
4104420053847	Mais Chips natur	67	2009	3149606299	4	15	67	215	125	g
4104420054806	Mais-Chips Paprika	67	2009	5118110236	4	15	67	215	125	g
4000161100904	Marzipan Klassiker ohne Schokolade	68	2006	78740157		358	108	307	100	g
4000161440673	Marzipan-Robben	68	2010	78740157		359	108	307	100	g
3560070559619	Mini-Flûtes	13	2032	7480314961	35	3	12	22	125	g
26192000	Nut Bars Choc Almond and Cranberry	48	2030	22	78	296	14	254	225	g
3760029244003	Palets de Belle-Ile-en-Mers au beurre frais	69	2033	3937007874		213	45	29	180	g
3760020501051	Pesto tomate parmesan	70	2014	8858267717	5	58	52	465	180	g
20127541	Petit Beurre au Chocolat Noir	71	2035	256	41	37	62	221	150	g
3396411223143	Petit Normand Nature (15% offert)	43	2011	3937007874		24	95	19	140	g
3560070504701	Pop n' Croc	13	2043	16535	23	51	73	23	175	g
5901869009645	Saucisse au mètre	72	2022	15748031496		5	236	425	105	g
3265475016001	Saveur Poulet Rôti Tomate et Ail	73	2009	11023622047		62	1	50	230	g
