Produto_has_Locais_Fabricados	Locais_Fabricados_idLocais_Fabricados
5410126806052	3
20093709	2
3560070420179	3
3560070419456	3
3268350120558	4
3268350120558	5
3268350120558	3
3178530402698	6
3336970711057	3
3350033118065	3
3350033118065	7
3350033118065	8
3350033118065	9
3431410131003	3
3560070600977	3
3449851140553	2
3449851140553	10
3449851140553	11
3449851140553	12
3560070725588	3
7071848006113	13
3245413922403	14
3760121210524	3
3564709005157	15
3564709005157	3
3564709005157	16
3477730001503	17
3760122961241	3
3178530411195	3
5000396015935	3
3336971112013	18
26034669	3
3175681140806	2
3175681140806	19
3175681140806	12
3178530408409	3
26035468	3
26035468	20
26035468	16
3222471834732	3
3222471834732	7
3222471834732	8
3560070907564	3
3564709001579	21
3760029247127	3
3760029247127	16
3561770000036	3
3561770000036	16
3336971202059	3
3245390021908	3
3175681120679	22
3178530407365	3
3178530407365	23
3268350120367	3
3222475123597	3
3222475123597	7
3222475123597	8
3222475123597	9
3368955782202	3
3270720080102	15
3256224371410	3
3760077531865	3
3512690000101	24
3770002558126	3
3770002558126	25
3266191085739	3
3270190155584	3
7622300737955	3
3268350120824	26
3268350120824	5
3268350120824	27
3268350120824	6
2000000000094	3
3396411227486	28
3396411227486	29
3256220363334	3
20384425	3
3263853107013	3
3368954400770	3
3368954400770	30
3368954400770	31
3256225054756	3
26039510	3
3178530409604	32
3178530409604	3
3178530409604	33
5412514933050	34
8480017076489	35
8480017076489	36
8480017076489	37
8480017076489	38
3278310003104	39
3760121211873	3
3113010128750	15
3339881001026	3
3339881001026	40
3435070029205	3
3700311810516	3
3410280021959	3
3410280021959	41
3410280021959	42
3410280021959	43
3067163621678	3
3067163621678	44
20181482	3
5000396037937	3
7610200021120	45
7610200021120	46
8480017032645	47
8480000364074	39
8480000364074	48
8480000364074	49
8480000364074	50
20276607	39
4004980517905	2
7610036000337	51
3588570003524	28
3588570003524	52
4003754176447	3
4003754176447	53
4003754176447	54
4104420053847	55
4104420054806	56
4000161100904	56
4000161100904	53
4000161100904	54
4000161440673	55
4000161440673	53
4000161440673	54
3560070559619	55
26192000	3
3760029244003	57
3760029244003	58
3760020501051	16
20127541	24
20127541	59
20127541	60
20127541	61
3396411223143	3
3560070504701	3
5901869009645	62
3265475016001	63
26018324	3
26018324	64
26018324	65
26018324	66
3555080708591	3
3760077534583	3
8423207207478	24
8423207207478	67
8423207207478	68
8423207207478	69
3222475720444	39
5000167082890	70
3260260031412	71
3260260031412	3
20277406	16
602652176616	39
602652176616	72
8480000335760	73
8480000335760	74
8480000335760	75
8480000335760	76
8413671022202	39
8413671022202	77
8413671022202	78
8413671022202	76
8413671030603	39
8413671030603	77
8413671030603	78
8413671030603	76
8413671022042	39
8413671022042	77
8413671022042	78
8413671022042	76
5425008344584	39
836110002074	2
24001885	2
20128609	39
20128609	55
20128609	79
3497900007111	80
3497900007111	3
3350033092419	81
3350033092419	82
3350033092419	83
3350033092419	84
60465005828	3
60465005828	85
3250392250249	86
3250392250249	7
3250392250249	8
3250392250249	9
3662790003325	3
3564700083642	21
3257980085788	3
3257980085764	3
3257982161565	3
3245412512179	3
3350030201029	3
3250391773688	3
3113010125865	3
3250391095605	3
3250391095605	87
3250391095605	88
3250390424079	3
9310072000411	89
8000015003081	32
9300617324126	90
3339883010170	32
8480017020215	40
9400553011477	35
8480017155436	57
8411814206885	91
8411814206885	92
8411814206885	93
8411814215863	94
8411814215863	92
8411814215863	93
8411814210806	94
8411814210806	95
3700656401158	96
26080994	24
3222475718991	21
819701	3
8480000670151	18
8480000670151	48
8480000670151	49
8480000670151	50
3535800172659	39
3270160801534	3
8410376016789	3
8410376016789	97
8410376016789	98
4001518003312	39
8008714000899	55
8008714000899	99
24086721	100
24086721	48
24086721	49
24086721	50
8410350065055	39
8431876251197	39
8433329039826	39
8433329039826	101
8433329039826	102
8433329039826	38
8433329039833	39
3700428432885	39
85366013000299	3
85366013000299	103
85366013000299	104
3250390183976	3
3258563020295	3
3258563020295	7
3258563020295	8
3258563020295	9
5410126716016	3
8421691784543	105
8421691477292	39
8410196051380	39
8430803027225	39
7622210114730	39
20204389	106
20204389	97
20204389	78
20204389	76
20204433	39
20204433	97
20204433	78
20204433	76
8480017092991	39
24044882	39
20204365	39
8480017092984	39
24044080	39
24018128	39
8431876005066	39
8410014305169	39
8410014305169	107
8410014305169	108
5941634001061	39
5060422870099	109
3182650148985	45
3182650148985	3
3182650148985	16
3182650148985	20
3182650248739	110
3182650248739	3
3182650008982	16
8606107223124	3
4013200332198	111
50300853	100
5410471903024	18
4001518110294	2
4000161110170	55
4000161110170	53
4000161110170	54
42305880	55
3104544018860	55
3263852910713	3
3368390000190	3
3368390000190	16
3226219005705	3
3700663000399	112
3472860003557	3
3700125800826	3
3328481290770	3
7613035903524	16
4003754178076	113
4003754178076	53
4003754178076	54
8713445070041	55
8713445070041	114
8713445070041	115
4000161400219	116
4000161050292	55
4000161050292	53
4000161050292	54
4000161400516	55
4000161600091	55
4000161740308	55
8422584000511	55
8422584000511	117
8421691560970	39
8421691560970	101
8421691560970	102
8421691560970	38
718122600595	39
1151	118
1151	3
8480017541857	119
8480017541857	120
8480017541857	11
8480017541857	12
2000000017785	3
3350031637513	16
9300650012349	3
4000161620112	121
4000161620112	53
4000161620112	54
20594442	55
20594442	9
20045463	3
8423348402336	122
5997591100545	94
5400113569435	123
3257980832290	3
